variavel,importancia
avg_player_rating,0.07808648301961242
market_value_million_eur,0.06809926733705474
goals_scored_avg,0.06650494371374359
win_rate_last_year,0.06531478387727448
fifa_points,0.06459545418072807
passing_accuracy,0.05486318140536666
fifa_rank,0.054354486822490354
recent_form_score,0.05410621856275463
possession_avg,0.05350299028329714
shots_on_target_ratio,0.05277671619980033
shots_per_game,0.05101208489749194
goals_conceded_avg,0.04733404080132701
experience_avg_caps,0.04711296122788068
climate_similarity_score,0.045910960020631775
travel_distance_avg,0.04115002782795258
coach_experience_years,0.032694535579762866
clean_sheets_last_10,0.02374398098079966
wins_last_10_matches,0.021003303013834435
draws_last_10_matches,0.019675539996038802
losses_last_10_matches,0.018807952371334546
star_players_count,0.016343350082672792
confederation_UEFA,0.006679324152187478
confederation_CONMEBOL,0.004445283508901955
confederation_CAF,0.0041382943994475755
confederation_CONCACAF,0.0026689501490530744
confederation_AFC,0.002491971779153722
host_advantage,0.0020830470189393308
confederation_OFC,0.0004998667904673895
